playerID,yearID,nameFirst,nameLast,G,AB,R,H,HR,RBI,BB,SO,SB,AVG,HR_rate,BB_rate
alforan01,2021,Anthony,Alford,49,133,14,31,5,11.0,12,58.0,5.0,0.23308270676691728,0.03759398496240601,0.08275862068965517
alforan01,2022,Anthony,Alford,2,4,0,1,0,0.0,0,2.0,0.0,0.25,0.0,0.0
allarko01,2021,Kolby,Allard,32,2,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
allenau01,2020,Austin,Allen,14,31,1,6,1,3.0,1,14.0,0.0,0.1935483870967742,0.03225806451612903,0.03125
allenau01,2021,Austin,Allen,4,8,2,2,1,1.0,0,3.0,0.0,0.25,0.125,0.0
allenau01,2022,Austin,Allen,5,14,1,1,0,0.0,1,9.0,0.0,0.07142857142857142,0.0,0.06666666666666667
allengr01,2020,Greg,Allen,16,26,4,4,1,4.0,3,10.0,2.0,0.15384615384615385,0.038461538461538464,0.10344827586206896
allengr01,2021,Greg,Allen,15,37,9,10,0,2.0,5,13.0,5.0,0.2702702702702703,0.0,0.11904761904761904
allengr01,2022,Greg,Allen,46,118,17,22,2,8.0,10,42.0,8.0,0.1864406779661017,0.01694915254237288,0.078125
allengr01,2023,Greg,Allen,22,23,6,5,1,1.0,2,10.0,3.0,0.21739130434782608,0.043478260869565216,0.08
allenlo01,2021,Logan,Allen,14,1,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
allenni02,2022,Nick,Allen,100,299,31,62,4,19.0,19,64.0,3.0,0.20735785953177258,0.013377926421404682,0.059748427672955975
allenni02,2023,Nick,Allen,106,303,29,67,4,20.0,17,52.0,5.0,0.22112211221122113,0.013201320132013201,0.053125
allenni02,2024,Nick,Allen,41,97,6,17,1,4.0,5,20.0,0.0,0.17525773195876287,0.010309278350515464,0.049019607843137254
almonab01,2020,Abraham,Almonte,7,11,0,1,0,0.0,2,4.0,1.0,0.09090909090909091,0.0,0.15384615384615385
almonab01,2021,Abraham,Almonte,64,148,20,32,5,19.0,26,38.0,1.0,0.21621621621621623,0.033783783783783786,0.14942528735632185
almonab01,2022,Abraham,Almonte,15,35,7,9,1,2.0,1,12.0,1.0,0.2571428571428571,0.02857142857142857,0.027777777777777776
almonab01,2023,Abraham,Almonte,8,15,1,1,0,0.0,1,8.0,0.0,0.06666666666666667,0.0,0.0625
almonye01,2021,Yency,Almonte,48,3,0,0,0,0.0,0,2.0,0.0,0.0,0.0,0.0
almoral01,2020,Albert,Almora,28,30,4,5,0,1.0,3,9.0,0.0,0.16666666666666666,0.0,0.09090909090909091
almoral01,2021,Albert,Almora,47,52,3,6,0,0.0,2,17.0,0.0,0.11538461538461539,0.0,0.037037037037037035
almoral01,2022,Albert,Almora,64,215,26,48,5,29.0,17,46.0,3.0,0.22325581395348837,0.023255813953488372,0.07327586206896551
alonspe01,2020,Pete,Alonso,57,208,31,48,16,35.0,24,61.0,1.0,0.23076923076923078,0.07692307692307693,0.10344827586206896
alonspe01,2021,Pete,Alonso,152,561,81,147,37,94.0,60,127.0,3.0,0.2620320855614973,0.0659536541889483,0.0966183574879227
alonspe01,2022,Pete,Alonso,160,597,95,162,40,131.0,67,128.0,5.0,0.271356783919598,0.06700167504187604,0.10090361445783133
alonspe01,2023,Pete,Alonso,153,568,92,123,46,118.0,65,151.0,4.0,0.21654929577464788,0.08098591549295775,0.10268562401263823
alonspe01,2024,Pete,Alonso,162,608,91,146,34,88.0,70,172.0,3.0,0.24013157894736842,0.05592105263157895,0.10324483775811209
altuvjo01,2020,Jose,Altuve,48,192,32,42,5,18.0,17,39.0,2.0,0.21875,0.026041666666666668,0.08133971291866028
altuvjo01,2021,Jose,Altuve,146,601,117,167,31,83.0,66,91.0,5.0,0.2778702163061564,0.051580698835274545,0.09895052473763119
altuvjo01,2022,Jose,Altuve,141,527,103,158,28,57.0,66,87.0,18.0,0.2998102466793169,0.05313092979127135,0.11129848229342328
altuvjo01,2023,Jose,Altuve,89,360,76,112,17,51.0,44,71.0,14.0,0.3111111111111111,0.04722222222222222,0.10891089108910891
altuvjo01,2024,Jose,Altuve,153,628,94,185,20,65.0,47,119.0,22.0,0.2945859872611465,0.03184713375796178,0.06962962962962962
aluja01,2023,Jake,Alu,51,159,14,36,2,16.0,10,42.0,5.0,0.22641509433962265,0.012578616352201259,0.05917159763313609
alvarar01,2024,Armando,Alvarez,16,37,7,9,0,2.0,2,8.0,1.0,0.24324324324324326,0.0,0.05128205128205128
